gene,HL60,MCF7,K562,A2780,A549,SKOV3
KLHDC2,3.913645366,5.163538796,4.621220037,4.634381707,4.585952226,5.712750202
SLC11A2,3.116786919,4.67584436,4.931645936,5.213915084,4.876291248,4.51801693
P4HA2,0.568164462,5.35129587,4.860470223,4.202632812,5.100012663,5.480835522
IL4R,2.221699402,2.547686137,2.343022737,2.662056077,3.129669613,4.881315795
ANO10,1.831429478,3.732420188,5.442283083,2.978034212,4.460315034,4.30498121
AXIN1,4.04164714,3.490344192,4.466291161,4.177233847,3.141017912,4.571763207
ARHGEF12,0.07387588,3.42576554,4.730588035,4.167712987,3.663090029,6.05581714
WDR7,2.13618656,1.638062463,1.651627242,2.244517072,2.139397524,2.520436527
HSPB1,3.066881804,9.988033333,6.924066912,7.21775628,7.991328681,8.404341398
AURKA,4.191655384,7.059314894,5.935584184,6.342377437,6.950282427,6.43339662
SCP2,5.552037247,6.430064022,6.707509544,6.083322856,6.181919446,7.197019737
STUB1,6.499094477,6.775300581,5.828598454,5.669163078,5.405296057,6.572568943
MRPS2,5.648882567,6.020591724,5.791031439,6.212196759,5.858532107,5.600569455
NCK1,2.665232648,3.948992509,4.122602425,5.023462102,4.56403883,5.613715044
DNTTIP2,5.672381124,4.032181079,4.949759024,5.398876206,5.700844434,4.417714928
ERBB2,1.281815991,5.278745069,2.768218631,5.139727169,4.059836866,10.52637878
CYB561,0.056930709,7.808726938,4.610303275,3.452080397,3.782340881,4.982735121
SH3BP5,0.690956623,7.02822492,4.92110387,2.022245581,2.977626142,2.877794075
IQGAP1,4.385227634,7.04962961,6.213852255,4.746635031,6.923127016,7.378047002
CDC45,6.207394415,4.828366783,8.288093928,5.577832228,4.524524343,5.017846246
TCEAL4,2.583729301,8.06448685,3.666313875,6.702573163,6.380634615,7.761260672
PGRMC1,4.501324683,6.601581764,6.325584996,6.729043319,7.156222239,6.988311766
MAST2,1.707910572,3.709996611,4.19906978,4.446689489,3.517618664,5.346596936
OXA1L,6.043747564,7.089217352,6.479965163,7.029571539,6.714788085,6.19128091
NUCB2,8.794524015,7.190475981,7.17271832,5.008053979,5.447750384,6.194955696
TIMP2,2.931290938,3.045167048,0.237018536,4.046187107,6.984800687,8.773329981
CLTC,5.783353736,8.520472257,6.768353571,6.760991649,7.7695865,7.490571216
TLR4,1.955316478,0.032729545,0.032729545,0.107649146,0.017301217,0.17911498
PAFAH1B1,3.670644203,5.42373105,4.898534276,5.68627824,6.547782823,5.576389207
COPB2,4.693076119,6.161950223,6.855835088,6.369038471,6.072479613,7.063655929
PEX11A,1.649527917,3.71886523,0.031771578,1.776490808,2.507260382,2.860020136
CDK1,5.270091853,5.94503939,7.540677788,7.498379083,6.838200544,6.590467474
CCP110,2.602407684,3.017440783,3.294882098,3.382315319,3.410377903,3.791823317
TES,3.071348456,3.553762181,6.875748588,4.559537662,5.998033033,5.740294608
PLK1,4.692853112,5.270736219,6.167407158,6.75282143,6.191360386,6.254512055
SPRED2,2.977013708,3.660527181,4.575774807,5.417914033,3.845938141,4.637437191
RRP1B,4.205715819,4.361214128,4.340903457,5.328847088,4.534366963,5.109484232
PSME2,7.430747887,8.439549446,6.899709558,9.298010624,7.490373065,7.152789624
EPN2,0.301160801,4.560245511,2.832067728,4.83177913,3.612406914,3.381230122
CDH3,0.225717666,4.456940587,0.191027662,0.143411829,0.314273854,1.274448204
ADAT1,3.015704094,4.491458671,4.025916362,3.922528611,4.183225587,4.627486112
TMEM50A,5.387799103,6.179353499,7.161005281,5.812786795,6.237189277,6.825493769
TJP1,0.166343999,4.173600298,4.189413798,4.762202275,5.962881286,5.542349137
WIPF2,1.725378704,2.942385358,3.088175597,3.381019239,3.299885382,4.626982104
MAPK9,2.903753014,5.158401242,4.521250646,4.093615305,4.700620919,5.564375136
TRAP1,6.758892068,6.729534685,7.102506187,7.20317661,6.560950423,6.156771737
CASK,0.932077862,5.117167995,1.813598252,4.114123175,4.204606431,4.685732374
CDKN1B,3.383073023,5.763754576,4.861598083,5.548353723,4.15982976,4.32423477
ABCF1,4.724807464,5.432334273,5.737220691,6.12201629,5.044591892,5.919572232
ITGB1BP1,5.825394717,5.648681946,5.544517647,5.214873028,6.722971636,6.052027393
FOS,2.839096256,6.328298108,3.182719442,2.148680724,0.862544157,7.479570762
SNX7,0.314455395,3.091120471,0.136909266,4.328824931,4.827088576,5.458407127
USP14,5.264985781,4.946698846,5.676585147,5.948498346,6.076380619,6.073160969
HTATSF1,5.83464643,6.143098183,5.132876822,5.745940769,6.133424519,5.632788865
CHMP6,3.965523418,3.745200945,3.653852419,3.547916299,4.096467691,4.666586215
IER3,1.56992304,7.768734231,6.016097107,4.000285988,5.873092618,8.298407202
TSKU,0.085233854,5.083814054,2.928193763,3.96916561,5.912288741,5.787523646
CASP10,1.857348709,0.209708464,3.621146413,0.578166608,1.749052303,2.185569694
PLSCR3,0.454753379,4.017104343,3.138674723,3.803105147,3.749143806,3.498894418
